iter	MultiClass
190	0.06761886657
191	0.06742293324
192	0.06729877912
193	0.06686958946
194	0.06670201959
195	0.06623977245
196	0.06595502261
197	0.06560425154
198	0.06470741338
199	0.064447221
200	0.06431747227
201	0.06408783534
202	0.06382531827
203	0.06333769568
204	0.06324855673
205	0.06289585724
206	0.06260632166
207	0.0618412066
208	0.0609411911
209	0.06071525867
210	0.05941599574
211	0.05920014561
212	0.0587455043
213	0.05851801292
214	0.05827823534
215	0.05815904643
216	0.05714131039
217	0.0567014255
218	0.05621833502
219	0.05554474487
220	0.05536543132
221	0.0546743505
222	0.05442140592
223	0.05383573324
224	0.05342894258
225	0.05329341723
226	0.05303057361
227	0.05249775526
228	0.05241335818
229	0.05166264184
230	0.05156310454
231	0.05114914986
232	0.05044517025
233	0.05016493176
234	0.04983408002
235	0.04904262941
236	0.04827719634
237	0.04819805195
238	0.04777522826
239	0.04720912205
240	0.04703333934
241	0.0468758422
242	0.04666359736
243	0.04650099183
244	0.04645736507
245	0.04637258336
246	0.04631164189
247	0.04613566946
248	0.04606365087
249	0.04557945228
250	0.04542801641
251	0.04524506942
252	0.04501288221
253	0.04481368295
254	0.04469443535
255	0.0441846397
256	0.0441284712
257	0.04377709916
258	0.04366971344
259	0.0435837344
260	0.04336913475
261	0.04333003183
262	0.04289436019
263	0.04245747084
264	0.04225265471
265	0.04221620025
266	0.04211327533
267	0.04205235675
268	0.04122143677
269	0.04113917805
270	0.04107287676
271	0.04083583317
272	0.04078232321
273	0.04062769495
274	0.04058871952
275	0.03997746125
276	0.03986564975
277	0.03978898099
278	0.03961060606
279	0.03954740885
280	0.03950560759
281	0.03935344662
282	0.03911903991
283	0.03865989037
284	0.03817642925
285	0.03808870781
286	0.03793871463
287	0.03782764078
288	0.03763467257
289	0.03752949664
290	0.03742714188
291	0.03735986168
292	0.0373047058
293	0.03684234307
294	0.03669097965
295	0.036396393
296	0.03628545718
297	0.0359008561
298	0.0358486201
299	0.03558834186
300	0.03516092426
301	0.03488961393
302	0.03482097381
303	0.03479585518
304	0.03451564954
305	0.03446687174
306	0.03435923416
307	0.03427776741
308	0.03414581169
309	0.03394895165
310	0.03375076633
311	0.03359092808
312	0.03354011703
313	0.03344919175
314	0.03337354485
315	0.03330185673
316	0.0332012145
317	0.0331661322
318	0.03309699264
319	0.03305796591
320	0.03294771347
321	0.03276689338
322	0.032653549
323	0.03258387335
324	0.03236891635
325	0.03216569067
326	0.03202453248
327	0.03171796741
328	0.03152814198
329	0.03141875848
330	0.03121788188
331	0.03119044647
332	0.0307798335
333	0.03066315168
334	0.03020652256
335	0.03009432946
336	0.03007163515
337	0.0300424759
338	0.02994760599
339	0.02989610515
340	0.02975902183
341	0.02968911854
342	0.02966284473
343	0.02953638821
344	0.02950289417
345	0.02934616606
346	0.02933124611
347	0.02925883063
348	0.02916404767
349	0.02903106313
350	0.02896696853
351	0.02890058621
352	0.02883539688
353	0.0288128351
354	0.02875806001
355	0.02859452433
356	0.02830692057
357	0.02828493203
358	0.02822431365
359	0.0279467119
360	0.02789873861
361	0.0277829492
362	0.02767435789
363	0.02757242723
364	0.02750677614
365	0.02745431442
366	0.02743813265
367	0.02731961876
368	0.02723894537
369	0.02699778778
370	0.02685969709
371	0.02683894806
372	0.02670438893
373	0.02660962743
374	0.02658532968
375	0.02656868128
376	0.02654263275
377	0.02643798441
378	0.02640759254
379	0.02625594307
380	0.0262407509
381	0.02620231149
382	0.02614281111
383	0.02612344444
384	0.02610643188
385	0.02608303155
386	0.02593332191
387	0.02590650183
388	0.02583306989
389	0.02578302944
390	0.0256989063
391	0.02547075588
392	0.02543048626
393	0.02527826633
394	0.02521680772
395	0.0251859655
396	0.02505066814
397	0.02495728736
398	0.02493729854
399	0.02473072685
